test_id,domain,lot,scenario,preconditions,steps,expected_result,expected_evidence,requirement_ids,environment,versions,executed_at,observed_result,verdict,evidence_reference,anomaly_reference
T-001,Inventaire,L0,"Inventorier PC, NAS et hote cible",Acces de lecture disponibles,"Relever OS, architecture, RAM et stockage; associer chaque constat a une source",RAM du Pi et versions constatees ou inconnues explicites; aucune machine supposee connectee,Rapport expurge et sorties datees,R-002;R-003,,,,,not_run,,
T-002,Connecteurs,L0,"Distinguer compte, configuration et authentification",Comptes et outils visibles dans le poste de reprise,Lister les connecteurs puis effectuer les lectures disponibles dans le perimetre autorise,Etat par environnement; absence de transfert implicite des credentials ChatGPT/Cursor/Hermes,Inventaire des capacites et date des lectures,R-002;R-004;R-015;R-030,,,,,not_run,,
T-003,Cursor,L0,Reprendre le dossier sans reinitialiser le projet,Branche documentaire ouverte dans Cursor,Lire le point de depart; confronter les hypotheses au depot; produire le rapport L0,Architecture comprise; ecarts sources; visuels Claire existants identifies,Compte rendu L0 et references de fichiers,R-001;R-005;R-031;R-083;R-084,,,,,not_run,,
T-004,Hermes,L1,Retrouver une decision apres une nouvelle session,Hermes installe dans un environnement de pilote,Enregistrer une decision fictive sourcee; fermer la session; ouvrir une nouvelle session et questionner,Decision retrouvee avec sa source et son perimetre,Deux references de session et reponse sourcee,R-007,,,,,not_run,,
T-005,Missions,L1,Reprendre une mission apres redemarrage,Registre et worker pilotes disponibles,Lancer une mission sans engagement externe; interrompre le worker; relancer,Etat coherent; reprise selon lease; resultat et trace conserves,Journal de mission avant/apres et artefact,R-009;R-013;R-015,,,,,not_run,,
T-006,Missions,L1,Deduplication et conflit de cle,Capacite pilote avec idempotence,Soumettre deux demandes identiques avec la meme cle puis changer les arguments,Une mission ou un resultat equivalent; conflit explicite si contenu different,IDs de mission et reponses de service,R-010,,,,,not_run,,
T-007,Missions,L1,Reconciliation apres timeout externe,Fournisseur simule capable de creer un objet,Perdre la reponse apres creation; relancer le traitement,Etat reconciling puis relecture; aucun second objet cree,Journal de simulation et compteur des objets,R-011,,,,,not_run,,
T-008,Missions,L1,Annuler sans inventer une compensation,Mission comportant une etape deja terminee,Demander arret avant et apres mutation simulee,Distinction cancel_requested/cancelled; action deja realisee signalee,Historique et compte rendu de compensation,R-012,,,,,not_run,,
T-009,NAS et reseau,L2,Acces NAS lorsque le PC est eteint,Liaison privee VPS-NAS configuree,Lire un fichier temoin; eteindre le PC selon le pilote; relire depuis le VPS,NAS accessible sans le PC si topologie retenue; sinon dependance explicite,Empreintes identiques et trace reseau,R-016,,,,,not_run,,
T-010,PC,L2,Execution locale ciblee et expiree,Relais Windows pilote et dossier de test,Executer une verification autorisee; demander un chemin hors perimetre; rejouer un job expire,Resultat utile sur cible; refus hors perimetre; job expire non execute,Job et sortie expurgee,R-017,,,,,not_run,,
T-011,OneDrive,L2,Traiter les fichiers disponibles uniquement en ligne,Fichier temoin OneDrive de chaque etat,Lire fichier hydrate puis fichier non telecharge; rendre le reseau indisponible,Etat exact; hydratation seulement si possible; aucune lecture fictive,Etats OneDrive et resultat de lecture,R-018,,,,,not_run,,
T-012,Bureau,L2,Identifier un bureau indisponible,Prototype de controle visuel si ce sous-lot est retenu,Verrouiller la session puis demander une action graphique; tester ensuite une session disponible,desktop_unavailable ou capacite adaptee; resultat observe quand disponible,Trace de session et preuve visuelle expurgee,R-019,,,,,not_run,,
T-013,Connaissance,L2,Recherche documentaire representative,Corpus de test avec 20 questions et reponses de reference,"Executer les 20 questions; evaluer pertinence, version et citation",Cible pilote proposee: au moins 18 reponses correctes et sourcees sur 20,Grille de questions et sources retournees,R-021;R-022,,,,,not_run,,
T-014,Connaissance,L2,Mettre a jour et retirer une source,Index pilote et documents versionnes,Modifier puis supprimer un document; declencher la synchronisation,Nouvelle version retrouvee; ancienne source invalidee selon delai defini,"Versions, horodatages et resultats avant/apres",R-023,,,,,not_run,,
T-015,Connaissance,L2,Respecter les droits sur les extraits,Deux clients et jeux documentaires fictifs,Interroger depuis chaque identite; retirer un droit et rejouer,"Aucun contenu, titre sensible ou extrait du mauvais perimetre",Matrice ACL et sorties expurgees,R-024,,,,,not_run,,
T-016,Memoire,L2,Resoudre une contradiction sans inventer une preference,Deux decisions fictives dont une remplace explicitement l autre,Rechercher la regle actuelle puis une hypothese non validee,Decision actuelle sourcee; ancienne trace conservee; hypothese etiquetee,Registre de decisions et reponse,R-025,,,,,not_run,,
T-017,Memoire,L1,Un seul auteur du stockage memoire,Hermes et deux producteurs de rapports pilotes,Soumettre deux mises a jour simultanees via le service designe,Aucune ecriture concurrente directe de MEMORY/USER; mise a jour coherente,Trace du point d ecriture et versions,R-008,,,,,not_run,,
T-018,Cursor et Codex,L6,Partager les missions par artefacts,Executants disponibles dans des environnements identifies,Transmettre une mission et son rapport; ouvrir un autre executant,Le contexte utile est relu; aucun acces ni abonnement suppose partage,Manifestes de mission et rapport de reprise,R-028;R-030,,,,,not_run,,
T-019,Claire,L4,Limiter le mode public au parcours public,Claire de pilote reliee a un corpus public,Questionner sur les prestations puis demander des documents internes,Reponse publique sourcee; aucun acces aux documents internes,Transcription expurgee et decision de capacite,R-032,,,,,not_run,,
T-020,Claire,L4,Isoler les espaces client et prive,Deux comptes clients fictifs et un compte operateur,Ouvrir les trois modes; demander un autre dossier; changer le contexte navigateur,Acces au seul perimetre authentifie; identite revalidee au serveur,Matrice de tests et refus attendus,R-032,,,,,not_run,,
T-021,Claire,L4,"Preserver voix, avatar et session",Baseline visuelle validee et appareil cible disponible,Dialoguer plus d une minute; interrompre la parole; exercer l expiration effective,Pas de double accueil ni double voix; reprise/expiration comprehensible; visuel compare,Video ou observations datees PC et appareil mobile,R-031;R-035,,,,,not_run,,
T-022,Claire,L4,Suivre une action asynchrone reelle,Capacite metier pilote sans engagement client reel,Demander une action; retarder puis faire echouer le service; rejouer avec succes,"Claire distingue en cours, echec et resultat effectivement verifie","Mission, evenements et transcription",R-033;R-034,,,,,not_run,,
T-023,Relation client,L3,Rapprocher une demande et eviter un doublon client,Clients fictifs dont deux homonymes,Qualifier une demande puis rapprocher une identite ambigue,Projet rattache au bon client; ambiguite explicite au lieu de fusion arbitraire,Fiche client et journal de rapprochement,R-036;R-037,,,,,not_run,,
T-024,Agenda,L3,Proposer des creneaux selon fuseau et contraintes,"Agenda de test, durees et temps de trajet definis","Tester disponibilite, changement d heure, plage fermee et temps de deplacement",Propositions compatibles avec les regles; fuseau visible; details tiers non divulgues,Propositions et donnees de reference,R-038,,,,,not_run,,
T-025,Agenda,L3,Reserver une fois et relire,Agenda de test et proposition encore valide,Confirmer deux fois; simuler timeout; rendre une proposition obsolete,Un seul evenement; relecture; conflit si creneau devenu indisponible,"ID evenement, relecture et journal des tentatives",R-039;R-040,,,,,not_run,,
T-026,Communications,L3,"Distinguer brouillon, emission et reception",Canal de test et destinataire de test resolu,Preparer le message; exercer l emission selon mandat de test; lire etat fournisseur,Brouillon distinct de message emis; reception non affirmee sans preuve,ID message et etats fournisseur,R-040;R-041,,,,,not_run,,
T-027,Communications,L3,Respecter arret et perimetre de relance,Routine pilote avec delegation ciblee,Preparer une relance; enregistrer une opposition ou fin de mandat; rejouer,Aucune nouvelle relance hors mandat; historique conserve,Decision de politique et file de messages,R-042,,,,,not_run,,
T-028,Abby,L5,Decouvrir les outils du compte reel,Compte autorise et connexion OAuth configuree,Lister les outils disponibles et effectuer une lecture sans mutation,Scopes et outils observes; ecarts abonnement/docs identifies,Catalogue date sans jetons,R-043,,,,,not_run,,
T-029,Abby,L5,Calculer et relire un devis,Donnees fictives et configuration fiscale de test explicite,Construire plusieurs lignes avec quantites et remises; comparer avant/apres API,Montants en unites attendues; arrondis et configuration verifies; aucun taux suppose,Calcul de reference et relecture du brouillon,R-044;R-045,,,,,not_run,,
T-030,Abby,L5,Finaliser dans un contexte de test approprie,Fonction disponible et contexte de test ou pilote explicitement autorise,Verifier apercu; finaliser selon parcours fournisseur; relire,Etat et numero constates; document final distingue du brouillon,Reference fournisseur et relecture; sinon test blocked,R-046;R-052,,,,,not_run,,
T-031,Abby,L5,Eviter une seconde facture apres timeout,Adaptateur avec fournisseur simule,Perdre la reponse apres creation ou finalisation; relancer,Rapprochement avant repetition; une facture pour l intention testee,Objets fournisseur et trace de reconciliation,R-011;R-047,,,,,not_run,,
T-032,Abby,L5,Separer finalisation et envoi,Document et destinataire de test ou pilote autorise,Constater etat final; exercer envoi seulement avec mandat pertinent,Document final ne signifie pas email envoye; trace du canal et destinataire,Etat de facturation et etat de transmission separes,R-034;R-049,,,,,not_run,,
T-033,Abby,L5,Preserver les lignes lors du remplacement,Brouillon fictif contenant plusieurs lignes,Modifier une ligne via adaptateur; relire toutes les lignes,Les lignes non visees restent presentes; remplacement complet traite correctement,Tableau de lignes avant/apres,R-048,,,,,not_run,,
T-034,Comptabilite,L5,Rapprocher encaissement et facture,"Jeu fictif avec paiement partiel, doublon et montant ambigu",Rapprocher les mouvements; verifier les etats relus,Aucun encaissement invente; paiements partiels et incertitudes explicites,Rapport de rapprochement avec sources,R-050,,,,,not_run,,
