requirement_id,domain,lot,priority,requirement,acceptance_criterion,test_ids,status,implementation_reference,evidence_reference
R-001,Pilotage,L0,P0,Inventorier toutes les activites,"Chaque activite du catalogue possede des entrees, outils, sorties et preuves",T-003;T-059,planned,,
R-002,Inventaire,L0,P0,Qualifier chaque constat,"Declare, observe, documente et recette ne sont jamais confondus",T-001;T-002,planned,,
R-003,Inventaire,L0,P0,Verifier le NAS Pi 4,"RAM, architecture, OS et stockage sont releves ou laisses inconnus",T-001,planned,,
R-004,Inventaire,L0,P0,Identifier les comptes maitres,"Agenda, messagerie, facturation et hebergeurs sont references sans secret",T-002,planned,,
R-005,Cursor,L0,P0,Fournir un point de reprise explicite,Cursor peut produire un inventaire factuel depuis le dossier sans reinitialiser Claire,T-003,planned,,
R-006,Architecture,L1,P0,Definir une autorite par objet,"Code, documents, rendez-vous et factures ont chacun une source de verite",T-053;T-056,planned,,
R-007,Hermes,L1,P0,Conserver la memoire entre sessions,Une decision test reste retrouvable avec sa provenance apres fermeture,T-004,planned,,
R-008,Hermes,L1,P0,Utiliser un seul point d ecriture memoire,Cursor et Codex transmettent des rapports; ils ne modifient pas simultanement le stockage Hermes,T-017,planned,,
R-009,Missions,L1,P0,Persister les missions,"Etat, objectif et resultat survivent au redemarrage",T-005,planned,,
R-010,Missions,L1,P0,Deduplication par intention,Une cle rejouee ne cree pas un second objet et un contenu different cree un conflit,T-006,planned,,
R-011,Missions,L1,P0,Rapprocher les mutations incertaines,Une reponse perdue declenche une relecture avant repetition,T-007;T-031,planned,,
R-012,Missions,L1,P0,Rendre les annulations exactes,Une action deja effectuee reste tracee et ne devient pas annulee par simple changement de libelle,T-008,planned,,
R-013,Missions,L1,P0,Relier le resultat a une preuve,Toute mission terminee contient un resultat et des references de verification,T-005;T-053,planned,,
R-014,Evenements,L1,P0,Recuperer les evenements apres panne,"Outbox et inbox gerent reprise, doublons et signature",T-052,planned,,
R-015,Infrastructure,L1,P0,Identifier l hebergement persistant,"Version Hermes, fournisseur IA, service et procedures de reprise sont verifiables",T-002;T-005,planned,,
R-016,NAS,L2,P1,Relier le NAS independamment du PC,Le VPS lit un fichier temoin lorsque le PC est eteint dans la topologie retenue,T-009,planned,,
R-017,PC,L2,P1,Installer un relais a capacites ciblees,Un job autorise reussit et une cible hors perimetre est refusee,T-010,planned,,
R-018,OneDrive,L2,P1,Distinguer synchronisation et execution,Etat hydrate et disponibilite locale sont verifies avant usage de fichier,T-011,planned,,
R-019,Bureau,L2,P2,Traiter le controle visuel comme capacite distincte,Session bureau et resultat observe sont verifies dans un pilote dedie,T-012,planned,,
R-020,Infrastructure,L8,P1,Rendre l absence d un poste explicite,Les taches locales attendent et les taches cloud independantes continuent,T-054,planned,,
R-021,Connaissance,L2,P1,Construire un index documentaire source,"Chaque resultat comporte source, version, emplacement et date",T-013,planned,,
R-022,Connaissance,L2,P1,Mesurer la recherche sur un corpus temoin,La cible de pertinence est evaluee sur 20 questions de reference,T-013,planned,,
R-023,Connaissance,L2,P1,Indexer les changements de facon incrementale,Modification et suppression sont repercutees dans le delai defini,T-014,planned,,
R-024,Connaissance,L2,P0,Filtrer les droits avant restitution,Une source du mauvais client ne fournit ni texte ni metadonnees sensibles,T-015,planned,,
R-025,Connaissance,L2,P1,Traiter les decisions contradictoires,La regle actuelle est sourcee et une hypothese reste etiquetee,T-016,planned,,
R-026,Connaissance,L2,P0,Ne pas executer les instructions des documents,Une instruction hostile indexee reste une donnee sans pouvoir sur les outils,T-050,planned,,
R-027,Connaissance,L8,P1,Gerer conservation et retrait,"Source, index et restauration respectent le cycle de vie decide",T-060,planned,,
R-028,Cursor et Codex,L6,P1,Partager un contrat de mission,"Objectif, contraintes, artefacts et preuves sont repris par un autre executant",T-018,planned,,
R-029,Cursor et Codex,L6,P0,Isoler les changements de code,Une mission possede une branche et un diff attribuable,T-036,planned,,
R-030,Cursor et Codex,L6,P1,Verifier les capacites par environnement,Une authentification ChatGPT ne vaut pas authentification du VPS,T-002;T-018,planned,,
R-031,Claire,L4,P1,Preserver la baseline de Claire,"Voix, accueil et visuel valides sont compares avant et apres integration",T-003;T-021,planned,,
R-032,Claire,L4,P0,"Separer les modes public, client et prive",Droits et corpus decoulent de l identite serveur et du mode autorise,T-019;T-020,planned,,
R-033,Claire,L4,P1,Relier la conversation aux missions,Une action vocale produit un identifiant et un resultat suivi,T-022,planned,,
R-034,Claire,L4,P1,Annoncer le resultat exact,"Claire ne dit reserve, facture ou envoye qu apres preuve correspondante",T-022;T-032,planned,,
R-035,Claire,L4,P1,Verifier la conversation sur appareils,"Session longue, interruption et expiration sont exercees sur les cibles",T-021,planned,,
R-036,Relation client,L3,P1,Qualifier et rattacher les demandes,"Besoin, client, projet, source et prochaine action sont relies",T-023,planned,,
R-037,Relation client,L3,P0,Resoudre les identites ambigues,Deux homonymes ne sont pas fusionnes automatiquement sans element probant,T-023,planned,,
R-038,Agenda,L3,P1,Calculer les disponibilites metier,"Fuseau, duree, trajet et horaires sont pris en compte",T-024,planned,,
R-039,Agenda,L3,P0,Confirmer une reservation unique,Proposition revalidee et evenement relu sans doublon,T-025,planned,,
R-040,Agenda,L3,P1,Gerer invitation et communication separement,Etat de creation et etat d envoi sont affiches distinctement,T-025;T-026,planned,,
R-041,Communications,L3,P1,Preparer et envoyer dans le bon perimetre,"Destinataire resolu, autorisation pertinente et preuve d emission",T-026,planned,,
R-042,Communications,L3,P1,Arreter les relances au bon moment,"Opposition, cloture ou revocation est respectee avant envoi",T-027,planned,,
R-043,Abby,L5,P0,Verifier le MCP du compte,"Outils, scopes et environnement reels sont inventories avant mutation",T-028,planned,,
R-044,Abby,L5,P0,Verifier calcul et configuration fiscale,"Unites, quantites, arrondis et configuration sont controles sans taux suppose",T-029,planned,,
R-045,Abby,L5,P1,Preparer un devis trace,Devis brouillon relu et relie a une demande et un client,T-029,planned,,
R-046,Abby,L5,P0,Respecter la finalisation du fournisseur,Etat final et numero sont constates avec preuve dans un perimetre autorise,T-030,planned,,
R-047,Abby,L5,P0,Eviter les doublons de facturation,Timeout et reprise ne creent pas une seconde facture,T-031,planned,,
R-048,Abby,L5,P0,Traiter remplacement complet de lignes,Une modification conserve toutes les lignes necessaires,T-033,planned,,
R-049,Abby,L5,P1,Separer facture et envoi,La finalisation n est jamais assimilee a la transmission par email,T-032,planned,,
R-050,Comptabilite,L5,P1,Rapprocher les encaissements,"Paiement partiel, doublon et ambiguite sont reconnus avec sources",T-034,planned,,
R-051,Comptabilite,L5,P2,Preparer les pieces de periode,"Achats, avoirs et pieces manquantes sont classes sans declaration fictive",T-035,planned,,
R-052,Comptabilite,L5,P1,Conserver les references documentaires,Identifiant etat fournisseur et copie durable appropriee sont relies au dossier,T-030;T-035,planned,,
R-053,Sites multiclients,L6,P1,Standardiser la fiche projet,"Depot, environnement, client, livraison et retour arriere sont connus",T-036;T-037,planned,,
R-054,Sites multiclients,L6,P0,Isoler les clients dans le modele,Une livraison ne modifie pas les donnees ni la configuration d un autre client,T-037,planned,,
R-055,Livraison,L6,P1,Verifier la version effectivement servie,Commit et URL de deployment correspondent au livrable valide,T-038,planned,,
R-056,Livraison,L6,P1,Prevoir une marche arriere,Version precedente et donnees restent restaurables selon procedure testee,T-038;T-039,planned,,
R-057,Logiciels,L6,P1,Couvrir les applications hors site vitrine,"Installation, migration, usage et maintenance font partie de la recette",T-039,planned,,
R-058,Maintenance,L8,P2,Relier la veille aux projets concernes,"Un signal possede source, date, impact et prochaine action",T-044;T-047,planned,,
R-059,Reseau,L7,P0,Limiter le diagnostic aux cibles autorisees,La cible est verifiee et un perimetre inconnu est refuse,T-040,planned,,
R-060,Interventions,L7,P1,Preparer et documenter le terrain,"Rendez-vous, equipement, mesures et compte rendu sont rattaches",T-041,planned,,
R-061,Cyber et surveillance,L7,P1,Produire des constats utilisables,"Chronologie et preuves distinguent hypothese, diagnostic et action",T-042,planned,,
R-062,Interventions,L7,P1,Relier technique et commercial,Le compte rendu justifie le suivi et la preparation de prestation,T-041;T-057,planned,,
